AREA_GEOGRAFICA,PROYECTO,INSTALACION,USUARIO,TIPO_USUARIO,TIPO_ASISTENCIA,EQUIPO,TIPO_EQUIPO,TIPO_FRACCION,TIPO_AVERIA,TIPO_FALLO,TIEMPO_ENTRE_EQUIPOS,TIEMPO_ENTRE_EQUIPOS_ASSIST_TYPE,TIEMPO_ENTRE_EQUIPO_FALLO,TIEMPO_ENTRE_FALLO_EQUIPO_AVERIA,TIEMPO_VIAJE,TIEMPO_TRABAJO,INMERSION,ACOMPANANTE,TRABAJO_FINALIZADO,RED_VERTIDO,ORDEN_TRABAJO,TIPO_ORDEN,TIEMPO_FECHAPREVISTA_FECHAFINALIZACION,HAY_MATERIALES_TEXTO,CANTIDAD_MATERIALES,COSTO
4,42,4201,9,3,1,0,0,0,3,0,0,0,0,0,0,60,0,0,1,1,515,1,2,0,131,812538
4,42,4201,9,3,1,0,0,0,3,0,0,0,0,0,0,60,0,0,0,1,516,1,0,0,131,812538
4,42,4201,9,3,2,5853,5200,0,1,0,0,0,0,0,0,180,0,0,0,1,3188,1,8,0,131,812538
4,42,4201,9,3,2,5853,5200,0,1,0,0,0,0,0,0,240,0,0,0,1,3217,1,15,0,131,812538
4,42,4201,9,3,2,5853,5200,0,1,0,0,0,0,0,0,120,0,0,0,1,3218,1,7,0,131,812538
4,42,4201,9,3,2,0,0,0,1,0,0,0,0,0,0,180,0,0,0,1,3219,1,2,0,131,812538
4,42,4201,9,3,2,5775,5000,0,1,0,135,0,0,0,0,180,0,0,1,1,3220,1,1,0,131,812538
4,42,4201,9,3,1,674,2200,0,3,0,0,0,0,0,0,60,0,0,0,1,3271,1,0,0,131,812538
4,42,4201,9,3,1,674,2200,0,3,0,7,7,0,7,0,120,0,0,0,1,3298,1,0,0,131,812538
4,42,4201,9,3,2,5775,5000,0,1,0,197,62,0,62,0,60,0,0,0,1,4285,1,0,0,131,812538
4,42,4201,9,3,3,626,800,0,7,0,0,0,0,0,0,60,0,0,0,1,9920,1,0,1,131,812538
4,42,4201,9,3,2,5853,5200,0,1,0,91,91,0,91,0,180,0,0,0,1,10207,1,0,0,131,812538
4,42,4201,9,3,3,1503,0,2,7,0,2,2,0,2,0,60,0,0,0,1,10145,1,2,0,131,812538
4,42,4201,9,3,2,5853,5200,0,1,0,97,97,0,97,0,60,0,0,0,1,10514,1,0,0,131,812538
4,42,4201,9,3,3,5775,5000,0,7,0,233,0,0,0,0,60,0,0,0,1,10524,7,0,0,131,812538
4,42,4201,9,3,3,5853,5200,0,7,0,100,67,0,67,0,60,0,0,0,1,10594,1,0,0,131,812538
4,42,4201,9,3,3,5801,5001,0,7,0,0,0,0,0,0,300,0,0,0,1,10624,1,1,0,131,812538
4,42,4201,9,3,3,5801,5001,0,7,0,0,0,0,0,0,180,0,0,0,1,10744,1,0,0,131,812538
4,42,4201,9,3,3,610,0,2,7,0,87,87,0,87,0,60,0,0,0,1,10813,7,3,0,131,812538
4,42,4201,9,3,3,634,2200,0,7,0,0,0,0,0,0,180,0,0,0,1,11370,7,0,0,131,812538
4,42,4201,9,3,3,636,2200,0,7,0,0,0,0,0,0,60,0,0,0,1,11623,7,1,0,131,812538
4,42,4201,9,3,3,695,2200,0,7,0,16,16,0,16,0,60,0,0,0,1,11618,7,1,0,131,812538
4,42,4201,9,3,3,645,2200,0,7,0,34,0,0,0,0,60,0,0,0,1,11945,7,0,0,131,812538
4,42,4201,9,3,0,666,2200,0,0,0,260,0,0,0,0,120,0,0,0,1,12267,7,1,0,131,812538
4,42,4201,9,3,0,614,700,0,0,0,180,0,0,0,0,120,0,0,0,1,19030,7,3,0,131,812538
4,42,4201,9,3,3,614,700,0,7,0,181,181,0,181,0,60,0,1,0,1,0,0,0,0,131,812538
4,42,4201,9,3,1,0,0,0,3,0,0,0,0,0,0,60,0,1,0,1,0,0,0,0,131,812538
4,42,4201,9,3,3,0,0,0,7,0,0,0,0,0,0,60,0,1,0,1,0,0,0,0,131,812538
4,42,4201,9,3,1,0,0,0,6,0,0,0,0,0,0,120,0,0,0,1,19673,1,2,1,131,812538
4,42,4201,9,3,3,608,0,5,7,0,219,219,0,219,0,60,0,1,0,1,0,0,0,0,131,812538
4,42,4201,9,3,1,608,0,5,3,0,237,34,0,34,0,60,0,1,0,1,0,0,0,0,131,812538
4,42,4201,9,3,1,609,0,5,5,1,1,0,0,0,0,120,0,1,0,1,0,0,0,0,131,812538
4,42,4201,9,3,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,1,21228,7,0,0,131,812538
4,42,4201,9,3,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,1,21398,1,0,0,131,812538
4,42,4201,9,3,0,5775,5000,0,0,0,408,0,0,0,0,60,0,0,0,1,21396,1,1,0,131,812538
4,42,4201,9,3,0,5853,5200,0,0,0,274,0,0,0,0,60,0,0,0,1,21426,1,0,0,131,812538
4,42,4201,9,3,2,0,0,0,1,0,0,0,0,0,0,120,0,0,0,1,21647,1,1,0,131,812538
4,42,4201,9,3,2,0,0,0,1,0,0,0,0,0,0,60,0,0,0,1,21648,1,0,0,131,812538
4,42,4201,9,3,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,1,21650,4,0,0,131,812538
4,42,4201,9,3,3,670,2200,0,7,0,269,269,0,269,0,180,0,1,0,1,0,0,0,0,131,812538
4,42,4201,9,3,3,0,0,0,7,0,0,0,0,0,0,60,0,1,0,1,0,0,0,0,131,812538
4,42,4201,9,3,3,608,0,5,7,0,301,301,0,301,0,60,0,1,0,1,0,0,0,0,131,812538
4,42,4201,9,3,3,0,0,0,7,0,0,0,0,0,0,60,0,1,0,1,0,0,0,0,131,812538
4,42,4201,9,3,1,0,0,0,3,0,0,0,0,0,0,180,0,0,0,1,22941,1,0,0,131,812538
4,42,4201,9,3,1,0,0,0,3,0,0,0,0,0,0,120,0,0,0,1,22982,1,0,0,131,812538
4,42,4201,9,3,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,1,22985,7,0,0,131,812538
4,42,4201,9,3,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,1,25705,7,4,0,131,812538
4,42,4201,9,3,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,1,25876,7,0,0,131,812538
4,42,4201,9,3,0,610,0,2,0,0,343,0,0,0,0,60,0,0,0,1,25875,7,0,0,131,812538
4,42,4201,9,3,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,1,4475,2,1,0,131,812538
4,42,4201,9,3,0,608,0,5,0,0,353,0,0,0,0,60,0,0,0,1,26109,7,0,0,131,812538
4,42,4201,9,3,0,608,0,5,0,0,357,0,0,0,0,60,0,0,0,1,26218,1,0,0,131,812538
4,42,4201,9,3,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,1,27365,2,325,0,131,812538
4,42,4201,9,3,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,1,27366,2,294,0,131,812538
4,42,4201,9,3,0,608,0,5,0,0,371,0,0,0,0,60,0,0,0,1,27857,7,0,0,131,812538
4,42,4201,9,3,3,611,0,2,7,0,348,348,0,348,0,60,0,0,0,1,28122,7,1,0,131,812538
4,42,4201,9,3,0,608,0,5,0,0,394,0,0,0,0,60,0,0,0,1,30359,7,0,0,131,812538
4,42,4201,9,3,0,5775,5000,0,0,0,602,0,0,0,0,120,0,0,0,1,38785,7,0,0,131,812538
4,42,4201,9,3,2,5775,5000,0,1,0,616,481,0,481,0,300,0,0,0,1,38996,1,0,0,131,812538
4,42,4201,9,3,3,5775,5000,0,7,0,617,384,0,384,0,60,0,0,0,1,39000,1,0,0,131,812538
4,42,4201,9,3,2,5775,5000,0,1,0,618,483,0,483,0,60,0,0,0,1,39016,1,0,0,131,812538
4,42,4201,9,3,1,623,100,0,5,0,0,0,0,0,0,60,0,0,0,1,39019,1,1,0,131,812538
4,42,4201,9,3,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,1,39021,6,0,0,131,812538
4,42,4201,9,3,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,1,39157,6,0,0,131,812538
4,42,4201,9,3,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,1,39630,7,0,0,131,812538
4,42,4201,9,3,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,1,39952,6,0,0,131,812538
4,42,4201,9,3,3,611,0,2,7,0,456,456,0,456,0,60,0,0,0,1,40046,7,0,0,131,812538
4,42,4201,9,3,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,1,40068,6,0,0,131,812538
4,42,4201,9,3,3,1490,0,5,7,0,386,386,0,386,0,60,0,1,0,1,0,0,0,0,131,812538
4,42,4201,9,3,0,5827,5100,0,0,0,0,0,0,0,0,300,0,0,0,1,40633,7,0,0,131,812538
4,42,4201,9,3,3,0,0,0,7,0,0,0,0,0,0,180,0,0,0,1,40693,7,1,0,131,812538
4,42,4201,9,3,2,5775,5000,0,1,0,658,523,0,523,0,300,0,0,0,1,40766,1,1,0,131,812538
4,42,4201,9,3,0,5827,5100,0,0,0,8,0,0,0,0,180,0,0,0,1,40934,7,0,0,131,812538
4,42,4201,9,3,0,1479,0,2,0,0,437,0,0,0,0,60,0,0,0,1,40827,1,0,0,131,812538
4,42,4201,9,3,0,5853,5200,0,0,0,531,0,0,0,0,120,0,0,0,1,41054,1,0,0,131,812538
4,42,4201,9,3,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,1,41537,6,0,0,131,812538
4,42,4201,9,3,3,1281,0,5,7,0,552,552,0,552,0,60,0,0,0,1,0,0,0,0,131,812538
4,42,4201,9,3,0,614,700,0,0,0,607,0,0,0,0,60,0,0,0,1,47798,7,7,0,131,812538
4,42,4201,9,3,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,1,48653,6,0,0,131,812538
4,42,4201,9,3,3,905,0,5,7,0,0,0,0,0,0,120,0,0,0,1,0,0,0,0,131,812538
4,42,4201,9,3,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,1,52356,6,0,0,131,812538
4,42,4201,9,3,3,609,0,5,7,0,512,511,0,511,0,60,0,0,0,1,0,0,0,0,131,812538
4,42,4201,9,3,3,609,0,5,7,0,521,520,0,520,0,60,0,0,0,1,0,0,0,0,131,812538
4,42,4201,9,3,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,1,57623,7,0,0,131,812538
4,42,4201,9,3,3,607,1502,0,7,0,0,0,0,0,0,60,0,0,0,1,0,0,0,0,131,812538
4,42,4201,9,3,3,1719,2100,0,7,0,820,797,0,797,0,240,0,0,0,1,0,0,0,1,131,812538
4,42,4201,9,3,2,1647,2500,0,8,0,0,0,0,0,0,180,1,0,0,1,0,0,0,0,131,812538
4,42,4201,9,3,2,1655,2500,0,1,0,40,40,0,40,0,240,1,0,0,1,0,0,0,0,131,812538
4,42,4201,9,3,3,614,700,0,7,0,923,923,0,923,0,240,0,0,0,1,76782,7,4,0,131,812538
4,42,4201,9,3,2,0,0,0,1,0,0,0,0,0,0,240,1,0,0,1,0,0,0,1,131,812538
4,42,4201,9,3,2,1666,2500,0,1,0,0,0,0,0,0,120,1,0,0,1,0,0,0,0,131,812538
4,42,4201,9,3,2,1655,2500,0,1,0,79,79,0,79,0,120,1,0,0,1,0,0,0,0,131,812538
4,42,4201,9,3,1,695,2200,0,6,2,918,841,0,0,0,60,0,0,0,1,0,0,0,0,131,812538
4,42,4201,9,3,2,1537,2500,0,8,0,0,0,0,0,0,60,1,0,0,1,0,0,0,0,131,812538
4,42,4201,9,3,3,886,0,5,7,0,0,0,0,0,0,60,0,0,0,1,0,0,0,0,131,812538
4,42,4201,9,3,3,833,0,5,7,0,0,0,0,0,0,60,0,0,0,1,0,0,0,0,131,812538
4,42,4201,9,3,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,1,77900,2,1,0,131,812543
4,42,4201,9,3,2,1502,0,5,1,0,1131,109,0,109,0,120,0,0,0,1,94897,1,1,0,131,812543
4,42,4201,9,3,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,1,77901,2,3,0,131,812543
4,41,4103,10,2,0,1727,0,5,0,0,32,0,0,0,0,120,0,0,0,3,1518,1,4,0,122,3184
4,41,4101,10,2,0,18388,500,0,0,0,0,0,0,0,0,120,0,0,1,3,82,1,0,0,122,3184
